Frequency (Hz)	Level (dB)
574.667358	-92.719025
575.340271	-88.200043
576.013184	-89.423897
576.686096	-95.818100
577.359009	-86.924683
578.031921	-86.203156
578.704834	-88.312767
579.377747	-86.161339
580.050659	-91.869133
580.723572	-89.758675
581.396484	-94.473732
582.069397	-98.820572
582.742310	-98.425407
583.415222	-99.386673
584.088135	-96.618523
584.761047	-98.369728
585.433960	-95.532471
586.106873	-91.573502
586.779785	-88.091400
587.452698	-89.322884
588.125610	-92.074615
588.798523	-96.134575
589.471436	-98.693527
590.144348	-102.324203
590.817261	-93.570145
591.490173	-92.179085
592.163086	-99.341904
592.835999	-112.796936
593.508911	-92.519264
594.181824	-97.186203
594.854736	-92.840286
595.527649	-101.688728
596.200562	-99.504440
596.873474	-98.985199
597.546387	-90.222046
598.219299	-90.295792
598.892212	-91.152840
599.565125	-88.685333
600.238037	-80.262115
600.910950	-83.262909
601.583862	-89.303894
602.256775	-85.538277
602.929688	-86.783745
603.602600	-92.449997
604.275513	-87.315788
604.948425	-93.982735
605.621338	-93.870712
606.294250	-85.111588
606.967163	-82.295700
607.640076	-82.355766
608.312988	-86.928337
608.985901	-93.234444
609.658813	-92.364105
610.331726	-114.249657
611.004639	-93.344406
611.677551	-88.143379
612.350464	-89.655037
613.023376	-107.193832
613.696289	-90.863121
614.369202	-90.317879
615.042114	-95.507889
615.715027	-87.862869
616.387939	-81.688881
617.060852	-83.837517
617.733765	-85.480415
618.406677	-87.986053
619.079590	-91.191887
619.752502	-86.004097
620.425415	-88.745094
621.098328	-92.303856
621.771240	-92.175491
622.444153	-86.848572
623.117065	-91.746429
623.789978	-89.231575
624.462891	-86.498863
625.135803	-90.525337
625.808716	-93.538506
626.481628	-90.243980
627.154541	-89.926872
627.827454	-97.831322
628.500366	-87.560501
629.173279	-92.175674
629.846191	-91.358154
630.519104	-94.149597
631.192017	-99.941826
631.864929	-87.879173
632.537842	-84.928696
633.210754	-92.235489
633.883667	-87.416916
634.556580	-84.146278
635.229492	-86.537689
635.902405	-92.204330
636.575317	-96.417679
637.248230	-99.153648
637.921143	-89.558617
638.594055	-86.796272
639.266968	-91.384605
639.939880	-85.941063
640.612793	-83.859230
641.285706	-90.003433
641.958618	-92.918205
642.631531	-92.144585
643.304443	-97.017670
643.977356	-87.914497
644.650269	-94.009407
645.323181	-94.112045
645.996094	-91.780029
646.669006	-98.744057
647.341919	-103.305664
648.014832	-101.492798
648.687744	-102.295303
649.360657	-91.988335
650.033569	-93.022690
650.706482	-92.226852
651.379395	-94.795311
652.052307	-92.030258
652.725220	-90.624748
653.398132	-93.575424
654.071045	-92.838173
654.743958	-102.660690
655.416870	-111.590408
656.089783	-99.372856
656.762695	-106.362328
657.435608	-95.632332
658.108521	-93.062004
658.781433	-93.591125
659.454346	-92.071640
660.127258	-95.228165
660.800171	-98.572594
661.473083	-94.984970
662.145996	-95.830429
662.818909	-94.815392
663.491821	-103.535622
664.164734	-103.328606
664.837646	-97.985207
665.510559	-93.685539
666.183472	-90.305359
666.856384	-94.771683
667.529297	-92.971382
668.202209	-94.816124
668.875122	-99.369858
669.548035	-89.920448
670.220947	-89.811920
670.893860	-92.912682
671.566772	-98.549263
672.239685	-90.264626
672.912598	-90.533852
673.585510	-94.869698
674.258423	-93.893784
674.931335	-92.577667
675.604248	-95.202065
676.277161	-94.123413
676.950073	-90.760033
677.622986	-95.100082
678.295898	-91.073837
678.968811	-97.547874
679.641724	-94.178200
680.314636	-93.990044
680.987549	-96.996109
681.660461	-98.100182
682.333374	-96.155975
683.006287	-92.912994
683.679199	-96.042793
684.352112	-101.294312
685.025024	-103.637100
685.697937	-103.050209
686.370850	-96.772644
687.043762	-94.563240
687.716675	-92.339127
688.389587	-94.542542
689.062500	-101.632248
689.735413	-98.667824
690.408325	-99.930817
691.081238	-103.532814
691.754150	-95.048843
692.427063	-102.083878
693.099976	-105.907677
693.772888	-94.609177
694.445801	-94.172218
695.118713	-98.108139
695.791626	-91.354111
696.464539	-89.344360
697.137451	-102.536766
697.810364	-100.173790
698.483276	-91.738091
699.156189	-91.746445
699.829102	-98.905525
700.502014	-94.728508
701.174927	-102.516914
